,0
0,Alabama
1,Alaska
2,Arkansas
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Hawaii
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Nebraska
22,New Hampshire
23,New Jersey
24,New York
25,North Carolina
26,North Dakota
27,Ohio
28,Oklahoma
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,South Dakota
33,Tennessee
34,Vermont
35,Virginia
36,West Virginia
